time,linear,binary
16,1.72E-06,2.36E-06
32,2.79E-06,2.58E-06
64,5.01E-06,2.89E-06
128,9.07E-06,3.47E-06
256,1.72E-05,3.74E-06
512,3.81E-05,4.71E-06
1024,8.26E-05,6.16E-06
2048,0.000153632,7.59E-06
4096,0.000299416,1.18E-05
8192,0.000635304,1.55E-05
16384,0.001248689,2.75E-05
32768,0.002495275,5.91E-05
65536,0.004946115,0.000110257
131072,0.009926934,0.0002526
262144,0.01878449,0.000626054
524288,0.034914353,0.001405208
1048576,0.059689326,0.003289573
2097152,0.110153255,0.00931462
4194304,0.213217063,0.017555246
8388608,0.427624402,0.04057694
16777216,0.91888989,0.085790706
33554432,1.729362257,0.198031571
